scenario,threshold,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,review_rate,fraud_amount_detected,fraud_amount_missed,missed_fraud_cost,false_positive_cost,total_estimated_cost,fraud_loss_multiplier,review_cost_per_transaction
medium,0.01,0.03722340177464685,0.9970414201183432,0.07176744791358565,3033,78448,7091,9,0.9198473713324528,496656.738,250.85000000000002,250.85000000000002,392240.0,392490.85,1.0,5.0
medium,0.02,0.0410460920756355,0.9947403024326101,0.07883903913292689,3026,70696,14843,16,0.8322552240322417,495810.88800000004,1096.7,1096.7,353480.0,354576.7,1.0,5.0
medium,0.03,0.044962928706756375,0.9907955292570677,0.08602211915804495,3014,64019,21520,28,0.7567424165453088,494726.863,2180.725,2180.725,320095.0,322275.725,1.0,5.0
medium,0.04,0.04895230330207909,0.9868507560815253,0.09327761119828483,3002,58323,27216,40,0.6923042187376526,493840.709,3066.879,3066.879,291615.0,294681.879,1.0,5.0
medium,0.05,0.05286952821658422,0.980276134122288,0.10032803431743628,2982,53421,32118,60,0.6367392555965726,492411.68999999994,4495.898,4495.898,267105.0,271600.898,1.0,5.0
medium,0.06,0.05652831199647894,0.9710716633793557,0.10683737499773956,2954,49303,36236,88,0.5899346360957768,490173.828,6733.76,6733.76,246515.0,253248.76,1.0,5.0
medium,0.07,0.06060481042947316,0.9658119658119658,0.1140527950310559,2938,45540,39999,104,0.547273117259909,489279.571,7628.017000000001,7628.017000000001,227700.0,235328.017,1.0,5.0
medium,0.08,0.06469062451504201,0.9592373438527285,0.12120708633616482,2918,42189,43350,124,0.5092175522967679,487714.39,9193.198000000002,9193.198000000002,210945.0,220138.198,1.0,5.0
medium,0.09,0.06903277986583567,0.9539776462853385,0.1287488908606921,2902,39136,46403,140,0.47457129632765493,483806.093,13101.494999999999,13101.494999999999,195680.0,208781.495,1.0,5.0
medium,0.1,0.07327619096065316,0.9470742932281394,0.1360277626950589,2881,36436,49103,161,0.44385364807351463,476913.327,19994.261,19994.261,182180.0,202174.261,1.0,5.0
medium,0.11,0.07776902815868791,0.9414858645627876,0.14367052095613134,2864,33963,51576,178,0.41574378252672695,474894.93999999994,22012.648,22012.648,169815.0,191827.648,1.0,5.0
medium,0.12,0.08244850594720046,0.9342537804076265,0.15152484538281083,2842,31628,53911,200,0.38913536762962714,472091.447,24816.141,24816.141,158140.0,182956.141,1.0,5.0
medium,0.13,0.08696188479092143,0.9270216962524654,0.1590076120665351,2820,29608,55931,222,0.3660830200607354,469826.708,27080.880000000005,27080.880000000005,148040.0,175120.88,1.0,5.0
medium,0.14,0.09232187541156328,0.9217619986850756,0.16783384210211288,2804,27568,57971,238,0.34287262505503435,468289.375,28618.213000000003,28618.213000000003,137840.0,166458.213,1.0,5.0
medium,0.15,0.09723532906923911,0.9145299145299145,0.17578112659147632,2782,25829,59710,260,0.3229925153249568,464225.691,32681.897,32681.897,129145.0,161826.897,1.0,5.0
medium,0.16,0.10229923358880373,0.908284023668639,0.18388739143456126,2763,24246,61293,279,0.30490737291292713,462993.17000000004,33914.418000000005,33914.418000000005,121230.0,155144.418,1.0,5.0
medium,0.17,0.10764583578517908,0.9020381328073636,0.1923386955455087,2744,22747,62792,298,0.28777051512175295,458406.68700000003,38500.901,38500.901,113735.0,152235.901,1.0,5.0
medium,0.18,0.11265092734741297,0.8925049309664694,0.2000515786759017,2715,21386,64153,327,0.2720786624671205,455590.432,41317.156,41317.156,106930.0,148247.15600000002,1.0,5.0
medium,0.19,0.118248431398359,0.8859303090072321,0.2086478535206906,2695,20096,65443,347,0.25728993802282657,450823.448,46084.14,46084.14,100480.0,146564.14,1.0,5.0
medium,0.2,0.12405075013891462,0.8806706114398422,0.21746895040181832,2679,18917,66622,363,0.2437994603808943,448991.48099999997,47916.106999999996,47916.106999999996,94585.0,142501.107,1.0,5.0
medium,0.21,0.1296278254091972,0.8747534516765286,0.2257955027577429,2661,17867,67672,381,0.23174269877287454,447107.658,49799.93,49799.93,89335.0,139134.93,1.0,5.0
medium,0.22,0.13575241223568055,0.8694937541091388,0.23483974074402914,2645,16839,68700,397,0.21995687562795632,445286.326,51621.262,51621.262,84195.0,135816.262,1.0,5.0
medium,0.23,0.14189225698384395,0.8632478632478633,0.24372360666388232,2626,15881,69658,416,0.20892742235919667,443353.279,53554.308999999994,53554.308999999994,79405.0,132959.309,1.0,5.0
medium,0.24,0.14711222058322931,0.8523997370151216,0.2509192955293207,2593,15033,70506,449,0.19898172294284328,436397.44200000004,60510.14599999999,60510.14599999999,75165.0,135675.146,1.0,5.0
medium,0.25,0.153173517339837,0.846482577251808,0.2594066387951443,2575,14236,71303,467,0.18978110430001918,433120.502,63787.086,63787.086,71180.0,134967.086,1.0,5.0
medium,0.26,0.15971177944862155,0.8379355687047995,0.2682875486790864,2549,13411,72128,493,0.18017407796254276,429519.196,67388.39199999999,67388.39199999999,67055.0,134443.392,1.0,5.0
medium,0.27,0.16542141827238172,0.8297172912557528,0.27584699453551914,2524,12734,72805,518,0.1722491279168219,425392.441,71515.147,71515.147,63670.0,135185.147,1.0,5.0
