feature,mean_absolute_shap_value,rank
V172,0.000598226628926568,289
V103,0.0005858337388830629,290
V150,0.0005761692454940051,291
V273,0.0005758748107764404,292
V337,0.0005674029251992276,293
V220,0.0005633426250472742,294
id_35,0.0005611648581725603,295
V97,0.0005557974983718547,296
id_29,0.000555743809840654,297
V122,0.000542397007656291,298
V299,0.000537318765839397,299
V245,0.0005120368592324666,300
V104,0.0004945121039518199,301
V148,0.0004929849991788918,302
V123,0.00047274368790870843,303
V274,0.0004597282534656794,304
V173,0.00044789448250473165,305
V125,0.00044546978702358805,306
V162,0.0004419933439179052,307
V141,0.000436225142316592,308
V186,0.0004302759936563234,309
V15,0.00042948402809512724,310
V251,0.0004289561415753269,311
V188,0.0004271908984786326,312
V210,0.00042673702001654116,313
V213,0.0004112700966037058,314
V223,0.000396153848119108,315
V120,0.00038538279458346855,316
V166,0.00038274091591803956,317
V248,0.0003800801136191391,318
V80,0.00037680549183035815,319
V302,0.00036789841197082754,320
V145,0.0003646945336195131,321
V121,0.00035926320205605106,322
V151,0.00035819429881917133,323
V101,0.00035266025899242476,324
V219,0.00034478022869249494,325
V234,0.0003447557225614825,326
V231,0.00033091261509313576,327
V253,0.00031890496744260114,328
id_10,0.00031459856423559057,329
V178,0.00030949887354787126,330
V278,0.0003050261309288847,331
V225,0.00030113528669365526,332
V204,0.0002933666912224074,333
V256,0.0002908066272821088,334
V93,0.00028771808535627013,335
V157,0.0002870591943258963,336
V146,0.00026643557028243475,337
V92,0.0002455124580252838,338
V284,0.00023285858556785873,339
V192,0.0002320251754858873,340
V272,0.0002189127710516914,341
V31,0.00021663800237320174,342
V181,0.00021395978023747375,343
V144,0.0002127740926127899,344
V147,0.00020842073443903548,345
V158,0.00020760153175251617,346
V326,0.00020708525553224415,347
V329,0.000200590485380341,348
V211,0.0001983263655903708,349
V180,0.00019205450881304388,350
V235,0.00019008705500527868,351
V182,0.0001683044415791907,352
V112,0.00016600546916985574,353
V338,0.00016234854349234714,354
V16,0.00016116894692322603,355
V32,0.0001584270383907551,356
V168,0.00015839729770656655,357
V336,0.00015668838776885727,358
V322,0.00014687436312109034,359
V212,0.000142852240210118,360
V233,0.00014239410077425418,361
V17,0.00013912197538597107,362
V238,0.00013884493902423855,363
V138,0.00013809848732186463,364
V175,0.00013043286227396795,365
V111,0.00012129298110990778,366
V174,0.00011519994776517706,367
V190,0.00011368949407551554,368
V327,0.00011112927727966356,369
V198,0.00010988769672909864,370
V199,0.00010785749148938824,371
V255,9.903394795886318e-05,372
V116,9.800377783479538e-05,373
V232,9.389230283920825e-05,374
V239,9.181933630861749e-05,375
V18,8.664601498211747e-05,376
V193,8.630144728673864e-05,377
V183,8.260815552087783e-05,378
V197,8.24876639884072e-05,379
V242,7.673689571811337e-05,380
V275,7.251185174182713e-05,381
V254,6.73542520604921e-05,382
V216,6.520727433765691e-05,383
V334,6.41010818247499e-05,384
V236,5.304215772052127e-05,385
V191,5.082050690058774e-05,386
V22,4.904081687239644e-05,387
V247,4.411307880157741e-05,388
V269,4.3509849993370156e-05,389
V179,3.591187083376705e-05,390
V167,3.2072129547202623e-05,391
V237,3.0448126452635432e-05,392
V252,2.7688849542755635e-05,393
V155,2.4001823705172378e-05,394
V325,2.2269371416465827e-05,395
V249,2.1661427921884523e-05,396
V21,1.9911277385441886e-05,397
V154,1.640256352546506e-05,398
V196,1.5559171839261883e-05,399
V14,1.3772086854260124e-05,400
V110,1.3045047176471295e-05,401
V194,1.078372986614795e-05,402
V106,9.864951218370758e-06,403
V328,3.5537090102479852e-06,404
V153,3.1755299182994653e-06,405
V195,3.0783977170661576e-06,406
V113,1.405241052926461e-06,407
V1,0.0,408
V27,0.0,409
V28,0.0,410
V41,0.0,411
V65,0.0,412
V68,0.0,413
V88,0.0,414
V89,0.0,415
V107,0.0,416
V114,0.0,417
V117,0.0,418
V119,0.0,419
V240,0.0,420
V241,0.0,421
V305,0.0,422
